name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Cu,390,,390,,8900,,1.68E-08,,,Cu,1.10E+11,0.37,,Conductor,
AIN,170,,740,,3260,,1.00E+01,,,AIN,3.44E+11,0.24,,Conductor,
Al,172,,900,,2700,,2.65E-08,,,Al,6.90E+10,0.33,,Conductor,
BiPbSnIn,33.2,10.6,323,721,9060,8220,1.00E+01,,,BiPbSnIn,0,0,,PCM,57
Ga,33.7,24,340,397,5903,6093,1.03E-03,,,Ga,0,0,,PCM,29.8
PureTemp 29,0.25,0.15,1770,1940,940,850,1.00E+01,,,PureTemp 29,0,0,,PCM,29
SiC,120,,750,,3100,,6.40E+02,,,SiC,4.10E+10,0.14,,Semiconductor,0
brass,111,,162,,8600,,6.67E-08,,,brass,1.01E+11,0.34,3.39E-05,Conductor,
solder,48,,167,,8000,,1.43E-07,,,solder,6.90E+10,0.4,1.59E-06,Conductor,
titanium,21,,522,,4500,,5.49E-07,,1.00018,titanium,1.25E+11,0.33,8.30E-06,Conductor,
vacuum,,,,,,,1.00E+10,1,,vacuum,0,0,,,
zinc,115.5,,389,,7140,,5.99E-08,,,zinc,1.15E+11,0.33,6.35E-05,Conductor,
